plane,stage,calls,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
execution,builder,60,424058406,412398080,1683221,565676
execution,checker,58,129957669,122372480,598940,245116
execution,doublechecker,8,13426964,12601856,61840,20994
execution,fixer,8,25981598,24892544,126788,44867
execution,troubleshooter,2,1261336,1099648,16875,6117
execution,updater,58,67655111,62103040,544806,172192
learning,analyst,3,1497014,1291008,27662,10821
learning,curator,8,4261460,3499648,57137,17507
learning,professor,2,600592,463104,12352,3801
planning,arbiter,11,28918632,27362560,145034,40990
planning,auditor,5,3794510,3222400,56526,19276
planning,manager,16,9333287,7952384,176737,64958
planning,mechanic,4,0,0,0,0
planning,planner,18,15995294,14585472,156966,55970
